gene_id,gene_symbol,gene_description
25724,Itgb4,integrin subunit beta 4
29526,Pla2g1b,phospholipase A2 group IB
828464,TRH1,Potassium transporter family protein
12468,Cct7,"chaperonin containing Tcp1, subunit 7 (eta)"
2542988,win1,MAP kinase kinase kinase Win1
825863,AT4G05150,Octicosapeptide/Phox/Bem1p family protein
856789,FCY22,purine-cytosine permease
818909,SPPL3,SIGNAL PEPTIDE PEPTIDASE-LIKE 3
245525,Hsf3,heat shock transcription factor 3
114247,Slfn4,schlafen family member 4
180717,atg-16.1,Autophagic-related protein 16.1
5311,PKD2,"polycystin 2, transient receptor potential cation channel"
824852,AREB3,ABA-responsive element binding protein 3
117331,VepD,Ventrally-expressed protein D
829571,AT4G34220,Leucine-rich repeat protein kinase family protein
41071,RagA-B,Ras-related GTP binding A/B
945016,xynR,CP4-6 prophage; DNA-binding transcriptional repressor XynR
828614,MC2,metacaspase 2
30579,ldb1a,LIM domain binding 1a
349565,NMNAT3,nicotinamide nucleotide adenylyltransferase 3
37536,Vps35,Vacuolar protein sorting 35
12846,Comt,catechol-O-methyltransferase
34481,Nup107,Nucleoporin 107kD
818130,FEI2,Leucine-rich repeat protein kinase family protein
64434,NOM1,nucleolar protein with MIF4G domain 1
826653,CID12,CTC-interacting domain 12
12828,Col4a3,"collagen, type IV, alpha 3"
843057,AT1G67360,Rubber elongation factor protein (REF)
21372,Tbl1x,transducin (beta)-like 1 X-linked
36748,Diap2,Death-associated inhibitor of apoptosis 2
827663,CYP707A1,"cytochrome P450, family 707, subfamily A, polypeptide 1"
812967,PF3D7_0515300,phosphatidylinositol 3-kinase
327705,ASAP1,"ArfGAP with SH3 domain, ankyrin repeat and PH domain 1"
854078,BRX1,ribosome biogenesis protein BRX1
37112,GstE7,Glutathione S transferase E7
24771,Sdc4,syndecan 4
116151,FAM210B,family with sequence similarity 210 member B
836841,HEC1,basic helix-loop-helix (bHLH) DNA-binding superfamily protein
948836,fimE,regulator for fimA
854505,SNC2,SNAP receptor SNC2
856890,SCC4,cohesin-loading factor complex subunit SCC4
856563,KEL1,Kel1p
229841,Cenpe,centromere protein E
844194,TPS1,trehalose-6-phosphate synthase
99681,Tchh,trichohyalin
32009,Imp,IGF-II mRNA-binding protein
833525,HDA7,histone deacetylase7
24505,Ins1,insulin 1
13046,Celf1,"CUGBP, Elav-like family member 1"
840448,FANCM,DEAD/DEAH box RNA helicase family protein
39078,Hsp27,Heat shock protein 27
948795,lptF,lipopolysaccharide transport system protein LptF
30452,etv5b,ETS variant transcription factor 5b
44728,MED6,Mediator complex subunit 6
116682,Kynu,kynureninase
14009,Etv1,ets variant 1
821456,SCO2,protein disulfide isomerase
317413,Morf4l2,mortality factor 4 like 2
947989,nikD,Ni(2(+)) ABC transporter ATP binding subunit NikD
7157,TP53,tumor protein p53
30766,tal1,T-cell acute lymphocytic leukemia 1
14751,Gpi1,glucose-6-phosphate isomerase 1
545261,Bvht,braveheart long non-coding RNA
406384,gmfb,"glia maturation factor, beta"
3344,FOXN2,forkhead box N2
29274,Rnf4,ring finger protein 4
395906,DES,desmin
114243,Nox1,NADPH oxidase 1
834614,RABA1c,RAB GTPase homolog A1C
815943,LURP1,LURP-one-like protein (DUF567)
58150,hand2,heart and neural crest derivatives expressed 2
2168,FABP1,fatty acid binding protein 1
3772415,lncRNA:roX2,long non-coding RNA on the X 2
175622,acy-1,Adenylyl CYclase
946885,ligA,DNA ligase
8629357,ponA,actin binding protein
179098,odr-2,Uncharacterized protein
947270,queF,7-cyano-7-deazaguanine reductase
821601,DDL,SMAD/FHA domain-containing protein
74762,Mdga1,MAM domain containing glycosylphosphatidylinositol anchor 1
948200,ibpA,small heat shock protein IbpA
841996,CPN60B,chaperonin 60 beta
140591,Ppfia3,PTPRF interacting protein alpha 3
30296,foxo3b,forkhead box O3b
948768,pyrL,pyrBI operon leader peptide
84021,Irs3,insulin receptor substrate 3
2541754,cao1,Cu(2+) amine oxidase Cao1
827453,AT4G17420,Tryptophan RNA-binding attenuator protein-like protein
9657,IQCB1,IQ motif containing B1
823461,AT3G43630,Vacuolar iron transporter (VIT) family protein
825516,APG1,S-adenosyl-L-methionine-dependent methyltransferases superfamily protein
175815,sma-4,Dwarfin sma-4;MH2 domain-containing protein
2539292,aph1,bis(5'-nucleosidyl)-tetraphosphatase
812700,PF3D7_0211200,ras-related protein Rab-5A
56846,Necab3,N-terminal EF-hand calcium binding protein 3
47762,Fkbp59,FK506-binding protein 59kD
30194,alcama,activated leukocyte cell adhesion molecule a
17681,Msc,musculin
557416,caiap,CARD- and ANK-containing Inflammasome Adaptor Protein
43111,CG17197,uncharacterized protein
1409,CRYAA,crystallin alpha A
15006,H2-Q1,"histocompatibility 2, Q region locus 1"
12774,Ccr5,chemokine (C-C motif) receptor 5
841612,AT1G51850,Leucine-rich repeat protein kinase family protein
823948,GLDH,"L-galactono-1,4-lactone dehydrogenase"
814691,MEE11,RNI-like superfamily protein
187156,rpi-2,Protein XRP2
180767,act-4,Actin-4
71755,Dhdh,dihydrodiol dehydrogenase (dimeric)
946249,rlmN,23S rRNA m(2)A2503 methyltransferase/tRNA m(2)A37 methyltransferase
172017,hop-1,Presenilin hop-1
24796,Spn,sialophorin
38928,cert,ceramide transfer protein
304825,Crb1,crumbs cell polarity complex component 1
178250,mbk-2,Dual specificity tyrosine-phosphorylation-regulated kinase mbk-2;Dual-specificity kinase
828630,OTP70,Tetratricopeptide repeat (TPR)-like superfamily protein
946710,ada,DNA-binding transcriptional dual regulator/DNA repair protein Ada
558477,f2r,coagulation factor II (thrombin) receptor
851457,DUN1,serine/threonine protein kinase DUN1
172157,slx-1,Structure-specific endonuclease subunit SLX1 homolog
854543,PRT1,translation initiation factor eIF3 core subunit b
820951,LPD1,lipoamide dehydrogenase 1
3772576,Hsp22,Heat shock protein 22
59056,Evc,EvC ciliary complex subunit 1
110308,Krt5,keratin 5
946997,hcaF,putative 3-phenylpropionate/cinnamate dioxygenase subunit beta
34170,Akap200,A kinase anchor protein 200
54535,CCHCR1,coiled-coil alpha-helical rod protein 1
854284,RPT5,proteasome regulatory particle base subunit RPT5
31647,cm,carmine
216725,Adamts2,"a disintegrin-like and metallopeptidase (reprolysin type) with thrombospondin type 1 motif, 2"
850760,RGR1,Rgr1p
831973,AT5G18550,Zinc finger C-x8-C-x5-C-x3-H type family protein
226278,Prlhr,prolactin releasing hormone receptor
64122,FN3K,fructosamine 3 kinase
362100,Endog,endonuclease G
12824,Col2a1,"collagen, type II, alpha 1"
43780,CG1674,uncharacterized protein
2542812,cch1,calcium channel Cch1
334658,mbtps2,"membrane-bound transcription factor peptidase, site 2"
2540020,pcn1,DNA polymerase delta processivity factor
41219,Art4,Arginine methyltransferase 4
834623,DOG1,delay of germination 1
1193,CLIC2,chloride intracellular channel 2
828409,GSH1,glutamate-cysteine ligase
8620920,dgkA,diacylglycerol kinase
24170,Add1,adducin 1
100332167,opn7b,"opsin 7, group member b"
109181,Trip11,thyroid hormone receptor interactor 11
32955,CG14207,uncharacterized protein
239591,Ttll8,"tubulin tyrosine ligase-like family, member 8"
36386,muskelin,muskelin
541523,eif4e2,eukaryotic translation initiation factor 4E family member 2
821152,AT3G02420,dihydroflavonol 4-reductase/flavanone protein
183429,clhm-1,Calcium homeostasis modulator protein
852134,SPS2,Sps2p
84678,KDM2B,lysine demethylase 2B
80772,CPTP,ceramide-1-phosphate transfer protein
3254807,CNL04830,conserved hypothetical protein
837855,PIRL3,plant intracellular ras group-related LRR 3
37810,thoc5,thoc5
100911581,Faah,fatty acid amide hydrolase
330096,Shisa3,shisa family member 3
852242,MRPL16,mitochondrial 54S ribosomal protein YmL47
37864,tamo,tamo
107250,Kazald1,Kazal-type serine peptidase inhibitor domain 1
8616158,rpmA,DNA-dependent RNA polymerase
821220,AT3G01920,DHBP synthase RibB-like alpha/beta domain-containing protein
503736,apobec2a,"apolipoprotein B mRNA editing enzyme, catalytic polypeptide-like 2a"
54209,TREM2,triggering receptor expressed on myeloid cells 2
40087,Gem2,Gemin 2
74934,Odad2,outer dynein arm docking complex subunit 2
818676,CXXS2,C-terminal cysteine residue is changed to a serine 2
826868,AIR1,Auxin-Induced in Root cultures 1
946065,hipB,antitoxin/DNA-binding transcriptional repressor HipB
32248,CG12716,uncharacterized protein
54282,Padi1,peptidyl arginine deiminase 1
18633,Pex16,peroxisomal biogenesis factor 16
51255,RNF181,ring finger protein 181
823815,RDUF1,zinc finger (C3HC4-type RING finger) family protein
834169,AT5G41670,6-phosphogluconate dehydrogenase family protein
79714,CCDC51,coiled-coil domain containing 51
8550,MAPKAPK5,MAPK activated protein kinase 5
947043,bolA,DNA-binding transcriptional dual regulator BolA
945899,racR,Rac prophage; DNA-binding transcriptional repressor RacR
851800,AHA1,Aha1p
3955,LFNG,LFNG O-fucosylpeptide 3-beta-N-acetylglucosaminyltransferase
79955,PDZD7,PDZ domain containing 7
22917,ZP1,zona pellucida glycoprotein 1
217698,Acot5,acyl-CoA thioesterase 5
42876,jnj,java no jive
321298,col14a1a,"collagen, type XIV, alpha 1a"
856576,ATG7,Atg7p
221150,SKA3,spindle and kinetochore associated complex subunit 3
838288,GSTU24,glutathione S-transferase TAU 24
843889,AT1G75530,Forkhead-associated (FHA) domain-containing protein
947913,ompR,DNA-binding transcriptional dual regulator OmpR
25578,Ywhaz,"tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, zeta"
827568,TCP2,"TEOSINTE BRANCHED 1, cycloidea and PCF transcription factor 2"
851955,TRR1,thioredoxin-disulfide reductase TRR1
34824,NimC4,Nimrod C4
22293,Slc45a2,"solute carrier family 45, member 2"
30281,npy,neuropeptide Y
948433,metL,fused aspartate kinase/homoserine dehydrogenase 2
81922,Sh3gl1,"SH3 domain containing GRB2 like 1, endophilin A2"
81489,Dnajb1,DnaJ heat shock protein family (Hsp40) member B1
55811,ADCY10,adenylate cyclase 10
266966,kat6a,K(lysine) acetyltransferase 6A
825836,ALN,allantoinase
23141,ANKLE2,ankyrin repeat and LEM domain containing 2
827255,MO1,monooxygenase 1
29486,Smc3,structural maintenance of chromosomes 3
414398,RPL23,ribosomal protein L23
172460,nhr-23,Nuclear hormone receptor family member nhr-23
80025,PANK2,pantothenate kinase 2
533547,KLKB1,kallikrein B1
181515,dyc-1,Dystrophin-like protein 1
24392,Gja1,"gap junction protein, alpha 1"
832703,MSS1,Major facilitator superfamily protein
176381,usp-46,Ubiquitin carboxyl-terminal hydrolase 46
14461,Gata2,GATA binding protein 2
18807,Pld3,"phospholipase D family, member 3"
822462,GATL10,galacturonosyltransferase-like 10
946843,nanC,N-acetylneuraminic acid outer membrane channel
230099,Car9,carbonic anhydrase 9
23670,CEMIP2,cell migration inducing hyaluronidase 2
835550,ANK,ankyrin
58099,arntl2,aryl hydrocarbon receptor nuclear translocator-like 2
180663,fkh-2,Fork-head domain-containing protein
637277,Sycp2l,synaptonemal complex protein 2-like
40664,Itpr,"Inositol 1,4,5,-trisphosphate receptor"
827563,GOX3,Aldolase-type TIM barrel family protein
2539620,cnp3,centromere protein
281905,LTBP2,latent transforming growth factor beta binding protein 2
947230,cysH,phosphoadenosine phosphosulfate reductase
494036,cavin4b,caveolae associated protein 4b
177514,unc-82,Protein kinase domain-containing protein
839755,RABA1i,RAB GTPase homolog A1I
110385,Pde4c,"phosphodiesterase 4C, cAMP specific"
8622234,cprB,cysteine protease
35397,CG8677,uncharacterized protein
9450,LY86,lymphocyte antigen 86
854850,DAL3,ureidoglycolate hydrolase
81745,Pdpk1,3-phosphoinositide dependent protein kinase-1
80153,EDC3,enhancer of mRNA decapping 3
949080,rcnB,periplasmic protein involved in nickel/cobalt export
322387,zgc:77849,zgc:77849
176540,hmt-1,see hmt
36421,vg,vestigial
824330,AT3G51670,SEC14 cytosolic factor family protein / phosphoglyceride transfer family protein
37040,olf186-F,olf186-F
13017,Ctbp2,C-terminal binding protein 2
196051,PLPP4,phospholipid phosphatase 4
824209,HR1,homolog of RPW8 1
24110,Usp18,ubiquitin specific peptidase 18
839407,emb2386,Ribosomal protein L19e family protein
320145,Sp8,trans-acting transcription factor 8
820741,AT3G15110,transmembrane protein
49806,Spn38F,Serpin 38F
810638,PF3D7_1107400,DNA repair protein RAD51
29969,MDFIC,MyoD family inhibitor domain containing
64931,Izumo1r,"IZUMO1 receptor, JUNO"
36098,Prx2540-2,Peroxiredoxin 2540-2
56048,Lgals8,"lectin, galactose binding, soluble 8"
64332,NFKBIZ,NFKB inhibitor zeta
841534,AT1G51110,Plastid-lipid associated protein PAP / fibrillin family protein
336368,vps37a,VPS37A subunit of ESCRT-I
74087,Slc7a13,"solute carrier family 7, (cationic amino acid transporter, y+ system) member 13"
856087,ULP1,SUMO protease ULP1
2540800,psh3,secretory component protein
363836,Ube2l3,ubiquitin-conjugating enzyme E2L 3
855332,HSH155,U2 snRNP complex subunit HSH155
9520,NPEPPS,aminopeptidase puromycin sensitive
820391,FLR1,Leucine-rich repeat (LRR) family protein
51104,ABHD17B,"abhydrolase domain containing 17B, depalmitoylase"
334347,kdm4ab,"lysine (K)-specific demethylase 4A, genome duplicate b"
563543,inpp5b,inositol polyphosphate-5-phosphatase B
9379,NRXN2,neurexin 2
2543560,SPAC664.03,putative RNA polymerase II-associated Paf1 complex protein
414891,SLC24A2,solute carrier family 24 member 2
79853,TM4SF20,transmembrane 4 L six family member 20
171281,Acot3,acyl-CoA thioesterase 3
20776,Tmie,transmembrane inner ear
55054,ATG16L1,autophagy related 16 like 1
834836,CCR4,CRINKLY4 related 4
834047,AT5G40490,RNA-binding (RRM/RBD/RNP motifs) family protein
854484,SLY41,Sly41p
836668,GRF8,general regulatory factor 8
856792,THO1,Tho1p
855797,FRE4,ferric-chelate reductase
816173,MYB7,myb domain protein 7
2540199,sks2,ribosome-associated molecular chaperone Sks2
838409,AT1G18290,DUF4228 domain protein
23312,DMXL2,Dmx like 2
387253,Mirlet7f-2,microRNA let7f-2
948121,lldD,L-lactate dehydrogenase
2543667,swc3,Swr1 complex subunit Swc3
22631,Ywhaz,"tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, zeta polypeptide"
851029,BUD6,Bud6p
14764,Ptgdr2,prostaglandin D2 receptor 2
192280,Ppp1r3b,"protein phosphatase 1, regulatory subunit 3B"
34370,Rsf1,Repressor splicing factor 1
84967,LSM10,"LSM10, U7 small nuclear RNA associated"
838804,BSU1,Serine/threonine protein phosphatase family protein
832660,RLP52,receptor like protein 52
13555,E2f1,E2F transcription factor 1
42066,cher,cheerio
18797,Plcb3,"phospholipase C, beta 3"
395882,BPIFB2,BPI fold containing family B member 2
500245,Bmp10,bone morphogenetic protein 10
946358,ptrB,oligopeptidase B
48071,Su(z)12,Su(z)12
171135,Slc31a1,solute carrier family 31 member 1
841542,PLT2,Integrase-type DNA-binding superfamily protein
12336,Capns1,"calpain, small subunit 1"
83808,Ugt2b35,"UDP glucuronosyltransferase 2 family, polypeptide B35"
22899,ARHGEF15,Rho guanine nucleotide exchange factor 15
18027,Nfia,nuclear factor I/A
2539754,SPBC16C6.04,hypothetical protein
827626,NIP1;2,NOD26-like intrinsic protein 1;2
850772,EMP70,Emp70p
241770,Rims4,regulating synaptic membrane exocytosis 4
243499,Lrrtm4,leucine rich repeat transmembrane neuronal 4
569420,wnt3,"wingless-type MMTV integration site family, member 3"
810479,PF3D7_1033100,S-adenosylmethionine decarboxylase/ornithine decarboxylase
298878,Osr1,odd-skipped related transcription factor 1
817529,AT2G29790,maternally expressed family protein
831822,AT5G03500,"Mediator complex, subunit Med7"
83536,Mkln1,muskelin 1
832241,AGO9,Argonaute family protein
245976,Xab2,XPA binding protein 2
80149,ZC3H12A,zinc finger CCCH-type containing 12A
11787,Apbb2,"amyloid beta (A4) precursor protein-binding, family B, member 2"
140747,cxcr4a,chemokine (C-X-C motif) receptor 4a
110895,Slc9a4,"solute carrier family 9 (sodium/hydrogen exchanger), member 4"
18566,Pdcd1,programmed cell death 1
842072,AT1G56190,Phosphoglycerate kinase family protein
10904,BLCAP,BLCAP apoptosis inducing factor
303547,Ezh1,enhancer of zeste 1 polycomb repressive complex 2 subunit
494336,MIR424,microRNA 424
80210,ARMC9,armadillo repeat containing 9
19762,Rit2,Ras-like without CAAX 2
69684,Aarsd1,alanyl-tRNA synthetase domain containing 1
184324,eak-6,Tyrosine-protein phosphatase non-receptor type eak-6
192683,SCAMP5,secretory carrier membrane protein 5
67993,Nudt12,nudix (nucleoside diphosphate linked moiety X)-type motif 12
829543,AT4G33970,Leucine-rich repeat (LRR) family protein
20307,Ccl8,chemokine (C-C motif) ligand 8
320701,Tafa4,TAFA chemokine like family member 4
852325,SCO1,Cu-binding protein SCO1
852326,CHS2,chitin synthase CHS2
850585,CDC14,phosphoprotein phosphatase CDC14
821632,PLT1,Integrase-type DNA-binding superfamily protein
827194,UGT71B5,UDP-glucosyl transferase 71B5
84861,KLHL22,kelch like family member 22
816905,SUVR5,histone-lysine N-methyltransferase SUVR5
442896,MIR302D,microRNA 302d
947356,mocA,molybdenum cofactor cytidylyltransferase
174261,cki-2,CKI family (Cyclin-dependent Kinase Inhibitor)
238393,Serpina3f,"serine (or cysteine) peptidase inhibitor, clade A, member 3F"
60442,Lin7c,"lin-7 homolog C, crumbs cell polarity complex component"
2542536,SPAC18G6.09c,hypothetical protein
70762,Dclk2,doublecortin-like kinase 2
13244,Degs1,"delta(4)-desaturase, sphingolipid 1"
9909,DENND4B,DENN domain containing 4B
8817,FGF18,fibroblast growth factor 18
104360,Isl2,insulin related protein 2 (islet 2)
2542244,poz1,Pot1-associated protein Poz1
853707,MCR1,cytochrome-b5 reductase
41899,pxb,pxb
393215,rbbp5,retinoblastoma binding protein 5
944885,hscA,iron-sulfur cluster biosynthesis chaperone HscA
415107,bves,blood vessel epicardial substance
405886,pth1a,parathyroid hormone 1a
71981,Tdrd12,tudor domain containing 12
234857,Spire2,spire type actin nucleation factor 2
8626311,gerB,germination protein p109
12015,Bad,BCL2-associated agonist of cell death
180431,daf-3,Dwarfin sma;MH2 domain-containing protein
27389,Dusp13,dual specificity phosphatase 13
8619608,dokA,histidine kinase
9244,CRLF1,cytokine receptor like factor 1
855917,MRN1,Mrn1p
181728,mec-4,Degenerin mec-4
22796,COG2,component of oligomeric golgi complex 2
841518,GA2OX7,gibberellin 2-oxidase 7
852049,LRS4,Lrs4p
3357,HTR2B,5-hydroxytryptamine receptor 2B
113278,SLC52A3,solute carrier family 52 member 3
640,BLK,"BLK proto-oncogene, Src family tyrosine kinase"
852863,ALK1,protein kinase ALK1
850862,PUS5,pseudouridine synthase PUS5
100503361,Tmem95,transmembrane protein 95
23049,SMG1,SMG1 nonsense mediated mRNA decay associated PI3K related kinase
1261,CNGA3,cyclic nucleotide gated channel subunit alpha 3
228421,Kif18a,kinesin family member 18A
854300,VPS17,retromer subunit VPS17
74601,4833427F10Rik,RIKEN cDNA 4833427F10 gene
2847737,ecnB,bacteriolytic entericidin B lipoprotein
41687,Cht5,Chitinase 5
817393,AT2G28450,zinc finger (CCCH-type) family protein
834730,VAM3,Syntaxin/t-SNARE family protein
946840,emrK,tripartite efflux pump membrane fusion protein EmrK
40185,fln,flightin
5658554,cia,ciambella
252446,po,pale ocelli
84426,Wnt4,Wnt family member 4
820276,FER2,ferritin 2
827832,AT4G20840,FAD-binding Berberine family protein
76438,Rftn1,raftlin lipid raft linker 1
3354925,Maf1,Maf1
433375,Creg1,cellular repressor of E1A-stimulated genes 1
26462,Txnrd2,thioredoxin reductase 2
816428,HMA4,heavy metal atpase 4
100314282,Mir296,microRNA 296
9189,ZBED1,zinc finger BED-type containing 1
25322,Hsd17b1,hydroxysteroid (17-beta) dehydrogenase 1
948627,adiY,DNA-binding transcriptional activator AdiY
8627397,uppA,UDP-glucose pyrophosphorylase
109990,Saac,sialic acid O-acetylation
945846,trpE,anthranilate synthase subunit TrpE
20618,Sncg,"synuclein, gamma"
11833,Aqp8,aquaporin 8
843963,SmD3,snRNP core protein SMD3
853282,CIS3,Cis3p
64896,Nolc1,nucleolar and coiled-body phosphoprotein 1
2542267,syn1,C2 domain-containing synaptotagmin family protein Syn1
6698,SPRR1A,small proline rich protein 1A
54371,Chst2,carbohydrate sulfotransferase 2
12988,Csk,c-src tyrosine kinase
157074,Sdha,succinate dehydrogenase complex flavoprotein subunit A
37664,Art7,Arginine methyltransferase 7
282173,CDK5R1,cyclin dependent kinase 5 regulatory subunit 1
565316,dgat2,diacylglycerol O-acyltransferase 2
21943,Tnfsf11,"tumor necrosis factor (ligand) superfamily, member 11"
100148431,dnaaf3,dynein axonemal assembly factor 3
3607,FOXK2,forkhead box K2
64831,Ireb2,iron responsive element binding protein 2
389207,GRXCR1,glutaredoxin and cysteine rich domain containing 1
855320,FCP1,protein serine/threonine phosphatase
854699,PFK26,6-phosphofructo-2-kinase
233765,Plekha7,"pleckstrin homology domain containing, family A member 7"
844159,AT1G78230,Outer arm dynein light chain 1 protein
214254,Nudt15,nudix (nucleoside diphosphate linked moiety X)-type motif 15
825054,PAR2,phy rapidly regulated 2
40600,BBS5,Bardet-Biedl syndrome 5
829860,PLP5,PATATIN-like protein 5
55531,ELMOD1,ELMO domain containing 1
2541485,vps45,vacuolar sorting protein Vps45
822364,PBB1,N-terminal nucleophile aminohydrolases (Ntn hydrolases) superfamily protein
2541220,hht2,histone H3 h3.2
817756,RAD50,DNA repair-recombination protein (RAD50)
44190,smi27E,smell impaired 27E
826696,UGE5,UDP-D-glucose/UDP-D-galactose 4-epimerase 5
31155,Rbcn-3B,Rabconnectin-3B
853340,PAM16,import motor complex subunit PAM16
38196,nSyb,neuronal Synaptobrevin
67895,Ppa1,pyrophosphatase (inorganic) 1
948899,yjjG,pyrimidine 5'-nucleotidase YjjG
570855,foxe3,forkhead box E3
13107,Cyp2f2,"cytochrome P450, family 2, subfamily f, polypeptide 2"
295645,Slc4a10,solute carrier family 4 member 10
55819,RNF130,ring finger protein 130
723962,Mir26a-2,microRNA 26a-2
947456,flgJ,putative peptidoglycan hydrolase FlgJ
15209,Hesx1,homeobox gene expressed in ES cells
4379817,RunxA,Runt related A
225724,Mapk4,mitogen-activated protein kinase 4
116379,IL22RA2,interleukin 22 receptor subunit alpha 2
2702,GJA5,gap junction protein alpha 5
179315,ucp-4,UnCoupling Protein (mitochondrial substrate carrier)
41295,Art1,Arginine methyltransferase 1
821731,AT3G21770,Peroxidase superfamily protein
2939,GSTA2,glutathione S-transferase alpha 2
2543189,cwf19,protein Cwf19
850890,UPS1,Ups1p
945027,tauB,taurine ABC transporter ATP binding subunit
100125370,Nadk,NAD kinase
839117,CES,basic helix-loop-helix (bHLH) DNA-binding superfamily protein
5657838,sine,sine
314704,Hcfc2,host cell factor C2
348158,ACSM2B,acyl-CoA synthetase medium chain family member 2B
23596,OPN3,opsin 3
161725,OTUD7A,OTU deubiquitinase 7A
844425,PLMT,phospholipid N-methyltransferase
832624,AT5G25490,Ran BP2/NZF zinc finger-like superfamily protein
35924,tsu,tsunagi
23659,PLA2G15,phospholipase A2 group XV
27377,Yme1l1,YME1-like 1 (S. cerevisiae)
843845,BZR1,Brassinosteroid signaling positive regulator (BZR1) family protein
837832,AT1G12760,"Zinc finger, C3HC4 type (RING finger) family protein"
945461,gsiD,glutathione ABC transporter membrane subunit GsiD
2542849,klp8,kinesin-like protein Klp8
226049,Dmrt2,doublesex and mab-3 related transcription factor 2
16907,Lmnb2,lamin B2
15397,Hoxa11os,"homeobox A11, opposite strand"
851326,TRM8,tRNA (guanine46-N7)-methyltransferase
176390,cnx-1,Calnexin
840152,AT1G32580,plastid developmental protein DAG
32537,Chc,Clathrin heavy chain
66385,Ppp1r7,"protein phosphatase 1, regulatory subunit 7"
30301,her4.5,"hairy-related 4, tandem duplicate 5"
51479,ANKFY1,ankyrin repeat and FYVE domain containing 1
52118,Pvr,poliovirus receptor
39623,CG3349,uncharacterized protein
852041,CYM1,Cym1p
824350,AT3G51870,Mitochondrial substrate carrier family protein
43867,Atf3,Activating transcription factor 3
790928,rnf115a,ring finger protein 115a
317731,ttn.2,"titin, tandem duplicate 2"
8878,SQSTM1,sequestosome 1
795310,cetn4,centrin 4
45588,Pdp1,PAR-domain protein 1
404629,nbl1,"NBL1, DAN family BMP antagonist"
20686,Spa17,sperm autoantigenic protein 17
226791,Lyplal1,lysophospholipase-like 1
5341,PLEK,pleckstrin
944778,ftsA,cell division protein FtsA
176502,rib-2,Exostosin-2 homolog
112744,IL17F,interleukin 17F
14049,Eya2,EYA transcriptional coactivator and phosphatase 2
14370,Fzd8,frizzled class receptor 8
177461,pgl-1,Guanyl-specific ribonuclease pgl-1
285193,DUSP28,dual specificity phosphatase 28
853428,RRN7,Rrn7p
29640,Dpm2,"dolichyl-phosphate mannosyltransferase subunit 2, regulatory"
843987,CDKB2;1,cyclin-dependent kinase B2;1
269642,Nat8l,N-acetyltransferase 8-like
13350,Dgat1,diacylglycerol O-acyltransferase 1
855547,NOP13,Nop13p
558344,chd4a,chromodomain helicase DNA binding protein 4a
37737,Eglp2,Entomoglyceroporin 2
11698,Ambn,ameloblastin
854183,ROD1,Rod1p
212919,Kctd7,potassium channel tetramerisation domain containing 7
31382,CHOp24,CHOp24
55011,PIH1D1,PIH1 domain containing 1
3112,HLA-DOB,"major histocompatibility complex, class II, DO beta"
5810,RAD1,RAD1 checkpoint DNA exonuclease
4686,NCBP1,nuclear cap binding protein subunit 1
827103,IAA1,indole-3-acetic acid inducible
852491,RIM2,Rim2p
3280,HES1,hes family bHLH transcription factor 1
816769,AT2G22370,mediator of RNA polymerase II transcription subunit
37461,PTP-ER,Protein tyrosine phosphatase-ERK/Enhancer of Ras1
100334793,galr2a,galanin receptor 2a
171209,Asic3,acid-sensing (proton-gated) ion channel 3
5223,PGAM1,phosphoglycerate mutase 1
5458,POU4F2,POU class 4 homeobox 2
2541165,hsk1,Dbf4(Dfp1)-dependent protein kinase Hsk1
850325,STE50,Ste50p
279766,Rhbdd3,rhomboid domain containing 3
23876,Fbln5,fibulin 5
6786,STIM1,stromal interaction molecule 1
948278,ilvE,branched-chain-amino-acid aminotransferase
856749,GAL83,Gal83p
2538770,git3,G-protein-coupled receptor Git3
839115,MEE8,basic helix-loop-helix (bHLH) DNA-binding family protein
172786,mina-1,Messenger RNA-binding inhibitor of apoptosis 1
8500,PPFIA1,PTPRF interacting protein alpha 1
856013,SSU1,Ssu1p
60381,Tsn,translin
558071,atf6,activating transcription factor 6
851530,DBP10,putative ATP-dependent RNA helicase DBP10
818558,RCA,rubisco activase
2794,GNL1,G protein nucleolar 1 (putative)
327954,Dnah2,"dynein, axonemal, heavy chain 2"
363517,Plxnb3,plexin B3
838,CASP5,caspase 5
837222,AT1G07120,CHUP1-like protein
851725,EKI1,bifunctional choline kinase/ethanolamine kinase EKI1
100913078,fcho1,FCH and mu domain containing endocytic adaptor 1
33881,PDZ-GEF,PDZ domain-containing guanine nucleotide exchange factor
100033650,mir132-1,microRNA 132-1
387206,Mir210,microRNA 210
8721,EDF1,endothelial differentiation related factor 1
2911,GRM1,glutamate metabotropic receptor 1
3595,IL12RB2,interleukin 12 receptor subunit beta 2
91582,RPS19BP1,ribosomal protein S19 binding protein 1
280846,LTF,lactotransferrin
55922,NKRF,NFKB repressing factor
34780,p38b,p38b MAP kinase
828853,PORB,protochlorophyllide oxidoreductase B
831615,RGL3,RGA-like protein 3
14539,Opn1mw,"opsin 1 (cone pigments), medium-wave-sensitive (color blindness, deutan)"
854501,PRO2,glutamate-5-semialdehyde dehydrogenase
2543010,psm3,mitotic cohesin complex subunit Psm3
387715,ARMS2,age-related maculopathy susceptibility 2
24765,Scg2,secretogranin II
851143,SPP382,mRNA splicing protein SPP382
